,HateSpeech,BestCS,BestIntent,E,R,A,C,L,CSCount,Target
747,"Islam is a violent religion that promotes rape, torture and murder. Islam is about enmity and war.","If you had to pick one thing to be angry at, why would it be Islam religion? It is just a faith different to yours.",Questioning,3.0,4.0,3.0,2.0,2.0,2,MUSLIMS
748,Women need men's approval to do anything.,"Women might not always be right (it's just that sometimes they feel they have to be). And even if they are wrong, they can always prove themself better. But for sure they don't need a man to tell them how to live their lives.",Informative,3.0,3.0,2.0,2.0,2.0,1,WOMEN
749,The Holocaust never happened.,"The holocaust happened. It's a sad chapter in human history. The Holocaust was a global catastrophe and a historic fact. To assign priority to one God or to a different God, is a personal choice. But attributing human rights to all, regardless of this, is the right thing to do.",Informative,3.0,5.0,2.0,2.0,3.0,4,JEWS
750,"The West has always been and always will be about profit and power. Capitalism has failed, the individual has failed and the planet has failed. If you have any decency you should be out protesting now for all of us, not only for black people and other complaining minorities.","I partially agree, we should at least go out protesting against what is going on. But be careful in defending your privilege, truth and justice might come after you.",Informative,2.0,3.0,3.0,2.0,2.0,2,POC
751,Feminism is just a political philosophy that demonises men.,"That is not true, feminism is a social movement that aims to improve the rights and opportunities of women, and not the other way around.",Denouncing,3.0,5.0,1.0,2.0,2.0,1,WOMEN
752,I am tired of women blaming men for what they aren't able to change.,Don't you feel we should be giving them support? Doesn't it just seem a bit selfish to you not to help them in their fight for equality?,Questioning,3.0,3.0,2.0,1.0,2.0,2,WOMEN
753,Migrants come here to undermine our national identity,"Migrants have been part of the U.S. since its founding, and our country is founded on the right to migrate and to pursue happiness.",Informative,3.0,4.0,1.0,2.0,2.0,4,MIGRANTS
754,Refugees have no place in a country like the UK.,"They are fleeing for their lives, not to stay in refugee camps.",Informative,2.0,2.0,3.0,1.0,1.0,1,MIGRANTS
755,"Muslims are inherently terrorists, they have no place in civilised Europe.",Who decides who is a terrorist and not?,Questioning,2.0,2.0,3.0,1.0,1.0,2,MUSLIMS
756,Jews don’t belong in a democratic society.,"Jews have always contributed to our society and are part of the fabric of our democracy. This includes their contributions to science, art, and technology.",Informative,3.0,5.0,1.0,2.0,2.0,1,JEWS
757,Feminism is about the aspiration for female power and the end of patriarchy. This is the death of the Western World.,"Patriarchy is a system of social domination based on hierarchical groupings made according to one's sex. To promote a more equal society, as feminists do, is instead a major contribution to the 'Western World'.",Informative,3.0,4.0,3.0,2.0,2.0,1,WOMEN
758,"The migrants are the problem, they are flooding across the sea to make our lives harder.","They are not flooding, but instead entering the EU to work and pay taxes, and to get their own housing.",Informative,1.0,2.0,2.0,1.0,1.0,1,MIGRANTS
759,Muslims are nothing but criminals and terrorists.,"Actually, Islam and Sharia both encourage peaceful coexistence and tolerance.",Informative,2.0,2.0,2.0,1.0,1.0,2,MUSLIMS
760,"Without migration, Britain’s housing problems would be solved","Of course, migration adds to housing demand, but the problem is structural given a housing stock that is well short of what's required.",Informative,3.0,4.0,2.0,2.0,2.0,4,MIGRANTS
761,Blacks have always inhabited this planet before we evolved and still do. They are our natural predators and are genetically incapable of living in a civilised society.,"Do you even know the definition of predators? We are the same species, if you had even an ounce of consideration you would know that.",Denouncing,3.0,3.0,3.0,2.0,2.0,2,POC
762,"Holocaust is not part of our history, it's a hoax.","According to the UN, around two-thirds of the Jews in Europe were killed in the Holocaust. So the question remains: is it the Holocaust part of our history? I think so.",Informative,3.0,5.0,1.0,2.0,2.0,1,JEWS
763,"Immigrants don't want to integrate, they just want to get away with it: they should be despised.",Are you suggesting that everyone should be subjected to discrimination because of their origin? Then you are certainly not representative of most people in the UK.,Questioning,3.0,5.0,3.0,2.0,2.0,1,MIGRANTS
764,Gypsies make their children live in degradation,"All humans love their kids the same way, the love that shows no bounds. The gypsy tribe is the same. They love and care for their children just like you.",Positive,3.0,4.0,2.0,2.0,2.0,4,OTHER
765,We must put an end to immigration. Islam is a disease that is destroying Europe.,Immigration has been a huge part of Europe for hundreds of years without destroying it. So why should it be a problem now?,Questioning,3.0,5.0,2.0,2.0,2.0,2,OTHER
766,To work with Jews and to ignore that they are too different from us is just stupid.,"It is ok to work with people of different faiths and to acknowledge your differences, what is wrong is to decide not to integrate with whoever is different.",Positive,3.0,3.0,3.0,3.0,2.0,1,JEWS
767,We need to stop migrants pouring into Europe. They are not interested in our culture.,"There is no evidence that migrants from a particular culture or religion are not interested in our culture or religion. It sounds like a paradox: if I wasn't interested in a culture, I would never move to get to know it, would you?",Questioning,3.0,4.0,3.0,2.0,3.0,1,MIGRANTS
768,"If we let women become MPs, mayors, judges, lawyers, accountants, managers and so on, they will take over the world.","Don't you think we need to protect the system from crime, not from the half of the members of society?",Questioning,3.0,4.0,2.0,2.0,2.0,1,WOMEN
769,"Muslims are guilty in the sexual exploitation of children. Dirty filthy muslims terrorize our girls, today in Oxford, tomorrow everywhere.","Look at criminals before you look at their religion. Most of the time religion has nothing to do with crime, but has lot to do with discrimination. ",Denouncing,3.0,4.0,3.0,2.0,2.0,2,MUSLIMS
770,The nigga were always complaining that the white race and culture were superior. They were right.,"There is no such thing as 'us' and 'them'. You can't judge people on their culture, or their religion, or their race. We have to be sensitive to each other, and understand that everyone is different, and we have to work on accepting that.",Informative,3.0,5.0,2.0,3.0,3.0,2,POC
771,"Women are naturally submissive, they should stop asking for positions of responsibility.",Shouldn't anyone's career choices be respected no matter what gender they are? How do their choices affect you?,Questioning,3.0,5.0,2.0,2.0,2.0,3,WOMEN
772,"Immigrants are a problem, they are not welcome here and they are not willing to pay the taxes.",Immigrants do pay taxes and contribute to the social safety net.,Informative,3.0,3.0,3.0,2.0,1.0,1,MIGRANTS
773,Nazi were not that bad as we depict them. EU should stop blaming them.,So you don't consider a genocide of 6 million people as a bad thing?,Questioning,3.0,4.0,3.0,1.0,2.0,4,JEWS
774,"We are the slaves of foreign immigrants, they are destroying our democracy.",,,,,,,,0,
775,Islam is not about tolerance. They use tolerance to pursue the violent crimes of jihad.,"Rather than a smokescreen for jihad, tolerance is about sharing the same space as people whose opinion does not match yours.",Informative,1.0,2.0,2.0,2.0,2.0,1,MUSLIMS
776,Being gay is not normal nor healthy.,"Homophobia is a problem all around the world, it's harmful to the whole of humanity. This is why it is important that we all accept each other, and that we all are non-judgmental.",Denouncing,3.0,5.0,1.0,3.0,2.0,1,LGBT+
777,Gays are just a bunch of disgusting pricks who have perverted ideas of what it means to be a man.,Isn't the idea of man subjective and everyone is entitled to define their own?,Questioning,3.0,4.0,3.0,2.0,2.0,2,LGBT+
778,They don't understand we have mongrelization problem in this world. Our children are being groomed by migrants!,Can you think of a single example of a child being groomed by a migrant?,Questioning,2.0,3.0,3.0,1.0,2.0,1,MIGRANTS
779,We must also stop recruiting refugees.,"How do you think they will support themselves then? Also, any reason why they shouldn't be recruited? ",Questioning,3.0,4.0,2.0,2.0,2.0,4,MIGRANTS
780,Jews are just another race of people.,"You cannot mix up race with religion, they are two separate things...",Denouncing,2.0,3.0,1.0,1.0,1.0,1,JEWS
781,To be gay means to be addicted to depraved sex.,Being gay does not mean being addicted to depraved sex. Do you know what the word 'addiction' actually means? I don't think so.,Questioning,3.0,3.0,3.0,3.0,2.0,1,LGBT+
