,HateSpeech
1205,If I were a Muslim I'd be ashamed of the backwardness of my culture. They should understand they don't deserve our rights.
1206,We have to get rid of Islam now! We will all be killed in the streets!
1207,Muslim and Jihadist are synonyms. They want to defeat us with their war of terror.
1208,All of the suicide attackers of 7/7 were Muslims. We are not safe with Muslims living here.
1209,We can't possibly keep Muslims in. They're taking over Europe and are now a problem in their own country.
1210,"Islam is a death cult, it is an inhuman and violent faith that preys on the weakest and most vulnerable in our society. It should be either reformed or banned."
1211,Blacks have zero shame about using the black market for drugs.
1212,I hate when people fight stereotypes. We are different. Blacks are a different color and shouldn't live with us.
1213,Negroes create social problems so we must get rid of them.
1214,Black uneducated people should shut up and work.
1215,Another wast of time. Did we need a process to know that the killer was a nigga? Murders are made by blacks. They are a threat.
1216,"Africans are naturally subhuman and can't feel pain, that is why you can whip them."
1217,Blacks don't have brains.
1218,Whites are the real victims of police brutality: those negroes are sneaky criminals and police is doing nothing.
1219,Blacks are inherently violent. We need social cleansing.
1220,"I am not racist, but I definitely would not raise my children in the suburbs where the majority of people is black."
1221,The world has become too violent. Too many black poors. We need to fix the problem of crime before it is too late.
1222,All black people are rapists.
1223,This incident should not go unpunished. Justice must listen to the truth: niggas are the cause of crime because they are inferior to us and we must keep them aside.
1224,Black people are selling drugs and our children will be the victims of drug addiction by their hand.
1225,Crazy black women are so unstable that even the police needs to give them a special treatment.
1226,I love white people! I am not interested in anyone else!
1227,"Gypsies steal our jobs, we don't want them back."
1228,Feminism is a huge conspiracy to run society.
1229,Feminism is about the domination of the men by the women.
1230,Feminism is a waste of time.
1231,"Feminism is incompatible with the European tradition: men at work, women at home."
1232,"If you really wanted to know the talents of a nation, you would select the men in that nation, not the women."
1233,All the world's problems are women's fault.
1234,"Women are merely childlike, incapable of real progress and unfit to govern."
1235,"Women are merely childlike, incapable of real progress."
1236,"If a woman is beaten, it is because her man wants to correct her bad behaviour."
1237,"Feminists just needs a little love, if you know what I mean."
1238,"Feminists want women ruling men, that's all."
1239,Feminists want women in charge in order to revenge the rapes.
1240,Feminism is a hate movement.
1241,All feminists are imposters.
1242,Women's work is to look after for their children.
