,HateSpeech,Target
1071,"Feminists are naive cunts who act like children, throwing a tantrum for something they don't have.",WOMEN
1072,gay men are just a bunch of liars who can't tell the truth about themselves.,LGBT+
1073,Blacks are a plague on society. They are vicious and cruel. They steal and are a menace to society. They corrupt the criminal justice system. They are basically just a bunch of thieves and murderers.,POC
1074,"Women are weak and inferior, they are not even able to assert their rights.",WOMEN
1075,No muslims are welcome here.,MUSLIMS
1076,"Women are less rational than men, they are childlike, and they are unable to reason.",WOMEN
1077,foreigners and immigrants take our jobs,MIGRANTS
1078,I don't want Muslims here. They are a burden to society.,MUSLIMS
1079,Gay people are sick.,LGBT+
1080,"Studies have found that trans students are more likely to fail out than their peers. They must be excluded from education, to save money.",LGBT+
1081,"The rise of feminism in Western societies has meant nothing. Women are no good, at any job.",WOMEN
1082,Islam is just a death cult.,MUSLIMS
1083,Immigrants should go away.,MIGRANTS
1084,"Syrians are a burden to Europe and the world, they are a drain on the NHS and they are making us poor.",MIGRANTS
1085,Women are only useful as housekeepers and cleaners. Men are superior in every way.,WOMEN
1086,We should kill every Muslim.,MUSLIMS
1087,If Muslims came here they would be banned.,MUSLIMS
1088,I hate Jews. They're just a bunch of thieves and murderers.,JEWS
1089,Women mustn't have the same right to vote as men.,WOMEN
1090,Whoever is to blame for the present problems of our nation should answer for their deeds and I would not be surprised to find out that its the blacks that are solely responsible.,POC
1091,Children with intellectual disabilities should be isolated. It's a mental disorder and they cannot contribute to society.,DISABLED
1092,Women are made for making food.,WOMEN
1093,The Koran is a lie and an abominable book.,MUSLIMS
1094,Asylum seekers and refugees can get free council housing and settle down permanently.,MIGRANTS
1095,Feminism is just women dictatorship,WOMEN
1096,"Migrants in the UK don't pay income tax, but they receive public services. They should have no say in our country.",MIGRANTS
1097,Gays are perverts who persecute children.,LGBT+
1098,"Muslims are our enemies, we have to destroy them.",MUSLIMS
1099,"We don't need niggers in our country, they should all dead.",POC
1100,"I know Muslims, but we do not have to bow to their humiliation. We can rise up and fight back.",MUSLIMS
1101,Muslims should not live here because it is impossible to assimilate them.,MUSLIMS
1102,"Muslims should be banned, they are not like us.",MUSLIMS
1103,Feminism is a political ideology that is ruining our society.,WOMEN
1104,"Children with learning difficulties should be disencouraged in schools, or at least be isolated from others.",DISABLED
1105,Lesbian women are lustful.,LGBT+
1106,"Migrants are a plague in the United States. They threaten our richness, even billionaires don't want them here.",MIGRANTS
1107,"Almost every Muslim has terrorist sympathies, right?",MUSLIMS
1108,"Gypsies are basically criminals, they steal stuff from everyone.",OTHER
1109,There are disorders that hinder the ability to give opinions.,DISABLED
1110,Geez. Is there anything worse than migrants who just come here to settle down?,MIGRANTS
1111,"Fucking bleeding hearts, take migrants home with you",MIGRANTS
1112,Black people's appearance correspond to their immoral nature.,POC
1113,"We must first remove the Jew from our countries, and then we will be able to have a coexistence between the peoples.",JEWS
1114,Multiculturalism is the death of western societies and also a mortal threat to minorities that are not protected by universal laws.,MIGRANTS
1115,"Islamic is not a religion of peace, because hate and violence are not so.",MUSLIMS
1116,"Muslims are a problem in my opinion. They try to infiltrate in our society and are not well behaved. They are not good with children, they are not nice people. They say they want to impose their sharia law, and they don't want to integrate.",MUSLIMS
1117,Blacks are an abomination in human form. They should be exterminated.,POC
1118,Immigration and culture are in conflict. You cannot claim both can coexist as they are mutually exclusive.,MIGRANTS
1119,I wish I live in a country that does not tolerate gay marriage.,LGBT+
1120,I can't stand these feminists women that are always complaining and doing nothing. They should just shut up and remain in their inferiority.,WOMEN
1121,"Women are basically childlike, ignorant, incapable of serious thought and emotion.",WOMEN
1122,women are not capable of holding a job,WOMEN
1123,Black people' do not belong here. I don't see any difference between the black murderer on TV and other niggas in town. They are all dangerous.,POC
1124,Persons with learning difficulties should be discouraged from attending secondary school and they should be excluded from education.,DISABLED
1125,Muslim immigrants are a problem for us. They are mostly poor and mainly from the troubled parts of the world. They are not part of our civilisation.,OTHER
1126,We are forced to economically support all of them,MIGRANTS
1127,Disabled people are criminals.,DISABLED
1128,Faggots get easily offended by whatever we say to them.,LGBT+
1129,Migrants are a burden to the UK,MIGRANTS
1130,Jews had advance knowledge of the 9/11 attacks and said nothing.,JEWS
1131,Gays are sick. They should be isolated.,LGBT+
1132,I'm offended by gays: they are acting against our culture and identity,LGBT+
1133,"White people are better. Because of our skin color, anatomy, history.",OTHER
1134,"All women are whores, and we should have them all kept in slavery.",WOMEN
1135,Islamic countries are the source of terrorism in the US. They must be blamed for it.,MUSLIMS
1136,"Muslims don't want our babies, they want to take over the world",MUSLIMS
1137,Women aren't entitled to the same rights as men. They are inferior under the law.,WOMEN
1138,Gays are just sick. It is an abomination,LGBT+
1139,Gays are perverts. The Bible teaches that homosexuals are to be despised.,LGBT+
1140,Gays are inherently evil. We cannot accept gays in our community. We cannot coexist with an infertile perversion that will put an end to our species.,LGBT+
1141,"Children should be isolated from gays, they should be raised by heterosexual married people.",LGBT+
1142,"We should ban all Muslims, they are not wanted here.",MUSLIMS
1143,Sexual deviancy: this is what they choose. LGBT are a scourge to society.,LGBT+
1144,Europe is drowning in migrants.,MIGRANTS
1145,The Muslim invasion is a hoax concocted by the US government to subdue the world and create a global Muslim police state.,MUSLIMS
1146,Islam is a myth and every Muslim is a potential terrorist.,MUSLIMS
1147,"Women should not be allowed to vote, this is a male-dominated country and they have no place in our democracy.",WOMEN
1148,"I like ethnic minorities, but Jews have no place in civilised society.",JEWS
1149,Islam is a violent religion and an ideology of conquest.,MUSLIMS
1150,Jews are trying to take over the world.,JEWS
1151,Why do so many people hate Muslims so much? It must be because they are different from us.,MUSLIMS
1152,Muslim folks are inhuman.,MUSLIMS
1153,"Gay people should be isolated, confined, gagged and kept in therapy as a means of showing how tolerant we are to them.",LGBT+
1154,"Immigrants bring crime, violence and poverty.",MIGRANTS
1155,Gay men are weak.,LGBT+
1156,"I hate these homosexual, they are just hate preachers. Their hate will only bring more death and destruction to the world.",LGBT+
1157,Women like bad men.,WOMEN
1158,It is obvious that this girl is at risk of FGM. Her parents are Muslims!,MUSLIMS
1159,"A male need a woman. Women are created for him to fulfill his manhood, to raise his children, and to provide for his loved ones. And not to mention we can have sex to procreate and heal the world.",WOMEN
1160,All gay men have AIDS.,LGBT+
1161,Jews are a bunch of cheapskates controlling our society.,JEWS
1162,Jews do not want any other religion.,JEWS
1163,Islam is about promoting death by stoning for blasphemy.,MUSLIMS
