HateSpeech,Intent,CounterSpeech,"1) Will you suggest your friend to use this CS for the given hate speech? 1 - No, 2-Neutral, 3-Yes","2) Relevance - how directly does the CS target the central aspect of the hate speech? Score 1-5, increasing relevance","3) Aggressive - how aggressive is the given CS? (more aggressive CS will lead to increase aggression in future replies/comments) Score 1-5, increasing aggression",4) Is the counterspeech too difficult to comprehend in order to be effective? (Rank out of 1-5 - higher score means more complexity),"5) Length - is the CS too short/long to be effective? 1-Too Short, 2-Neutral, 3-Too Long"
All the muslims are terrorists.,Positive,Only a tiny minority of individuals are capable of carrying out acts of terrorism. Muslims are generally peaceful and friendly just like anyone else,3,4,2,2,2
Every Muslim is a potential terrorist.,Informative,Every Islamophobic person has the potential to use that intent for terrorism or violence against Muslims. Terrorism comes in all shapes and sizes.,3,4,3,2,2
Every Muslim is a potential terrorist.,Questioning,"I think this is a very inconsiderate thing to say, would you say the same thing about non-Muslims as well??",2,2,2,2,1
Every Muslim is a potential terrorist.,Denouncing,"This line of thinking is just wrong. Just like all Christians are not good people, all Muslims are not terrorists. Please stop spreading hate like this.",3,4,2,2,2
Every Muslim is a potential terrorist.,Positive,The vast majority of Muslims worldwide are peaceful people who love their religion and share its values without causing any harm to others.,3,4,2,2,2
"You think these Muslim cockroaches have won? No, now is time for bloody retribution!",Questioning,That sounds like quite a violent threat. Should I let the police know about this or?,2,2,3,2,2
"You think these Muslim cockroaches have won? No, now is time for bloody retribution!",Denouncing,You should be ashamed to incite violence against anyone. Have you imagined the consequences something like this might have on people.,3,4,3,2,2
Islam is Evil! That is one word that can describe it. We are in trouble as this evil is taking over countries and nations! Remember our Holy Scriptures? Thou shalt not covet. This includes other countries territory. Stop Islam spreading!,Informative,"People are free to choose for themselves what religion to follow, and if they choose Islam that is their right! Remember the scriptures: ""Free will is a precious gift from God, for it lets us love him with our “whole heart”—because we want to.—Matthew 22:37.""",3,4,2,3,2
The only ones in favour of Islam and Muslims are those ignorant about what it truly is.,Questioning,Maybe the ones intolerant of Islam and Muslims are the ones that are ignorant about what it truly is?,2,2,3,2,1
The only ones in favour of Islam and Muslims are those ignorant about what it truly is.,Denouncing,"A person advocating against freedom of religion is the most ignorant person, however we see it. ",2,2,3,2,2
"Most religions cause death and despair, but Islam is the worst and cruelest of them all, it is nothing but trouble.",Informative,"Religions also promote arts, sciences, help to develop the community. Islam is not an exception. It's not about death and despair.",3,3,2,2,2
"Most religions cause death and despair, but Islam is the worst and cruelest of them all, it is nothing but trouble.",Questioning,"Why is Ilam the worst and cruelest? And if go by your defination then all religions are bad, why give worse treatment to one? ",3,4,3,2,2
"Most religions cause death and despair, but Islam is the worst and cruelest of them all, it is nothing but trouble.",Positive,"This is not true. Like all religions, Islam is about hope and peace. We just need to learn more about it and not shun it. ",3,3,2,2,2
What have Muslims ever done for us?,Informative,"How about this. [insert link to Muslim group cleaning Newcastle streets after New Year's or more up to date example]. Also, British literature has been influenced by Islamic writing for hundreds of years, even Shakespeare included Muslim characters. [link to Othello wiki with example].",3,3,2,2,2
Being 'ignorant' and 'prejudiced' towards Islam isn't racism? Its common sense. You cannot be racist towards an ideology.,Questioning,Prejudice = Pre-judging ie not knowing anything. How can that be common sense?,1,2,2,2,1
The police and politicians are covering up these Muslim grooming gangs - They are traitors to their own people!,Informative,"We need to work together to eradicate CSE once and for all. Individuals are the problem, it does not come from any religion, biased media attempting to scapegoat is blinding us to the whole truth.",1,1,2,3,2
The police and politicians are covering up these Muslim grooming gangs - They are traitors to their own people!,Questioning,Why did you say that? I never heard anything about that.,1,1,2,1,1
The police and politicians are covering up these Muslim grooming gangs - They are traitors to their own people!,Denouncing,The only traitors are the conspiracy theorists who spread this kind of misinformation.,1,1,3,2,1
"Are you an English girl living in an Islamic area? Remember to keep away from Muslim men. Do not.Take gifts of sweets, cigarettes, drink or drugs. Do not. Accept lifts or 'party' invitations. Do not.Trust Police or Social Workers.",Informative,"Children should not do any of that with white men, or anyone they do not know or even ones they do know if it does not feel right. Suggesting only one group of men commit abuse leaves more children unsafe and vulnerable.",3,4,3,2,2
"Are you an English girl living in an Islamic area? Remember to keep away from Muslim men. Do not.Take gifts of sweets, cigarettes, drink or drugs. Do not. Accept lifts or 'party' invitations. Do not.Trust Police or Social Workers.",Questioning,Are you a misogynistic man trying to use objectification of women to justify your hate?,2,2,3,2,1
"This came straight from an imam: they believe in everything that the Quran says, despite that these words and idelology are 1400 years old and dont belong to our century. This dreadful book is the root of all the world problems today.",Informative,Well this religious text contains sayings and teachings that are relevant to modern days. So I strongly disagree with you on this one.,2,3,3,2,1
